,distance,type,location
0,5.735800768987836,Botanical_garden,"VanDusen Botanical Garden, 5251, Oak Street, South Cambie, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6M, Canada"
4,5.490855300250289,aquarium,"Vancouver Aquarium, 845, Avison Way, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6G 3E2, Canada"
8,3.962884111852716,artwork,"Digital Orca, Jack Poole Plaza, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6C 0C3, Canada"
10,3.004804760031326,artwork,"Gate to the Northwest Passage, Seaside Bike Route, Kitsilano, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6J, Canada"
11,5.528129785971133,artwork,"A-maze-ing Laughter, Davie Street, Davie Village, West End, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada"
14,3.5589354499868535,artwork,"120, Milross Avenue, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6A, Canada"
24,6.32629179453648,attraction,"Canada Place, 999, Canada Place, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6C 3C1, Canada"
28,3.440547001538818,attraction,"Vancouver Public Library, 350, West Georgia Street, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6B 6B1, Canada"
32,3.969794379905337,hotel,"Starbucks, West Georgia Street, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6Z, Canada"
33,4.833344645603364,hotel,"West Cordova Street, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6C 0B9, Canada"
35,2.1046053640159346,hotel,"The Listel Hotel, 1300, Robson Street, West End, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6B 1C6, Canada"
40,4.210003608971615,hotel,"Living Shangri-La, 1228, West Georgia Street, Coal Harbour, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6E 4M3, Canada"
42,3.0418968744776214,hotel,"Sylvia Hotel, 1154, Gilford Street, West End, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6G 2P6, Canada"
48,4.435308056843012,hotel,"Granville Island Hotel, 1253, Johnston Street, Granville Island, Fairview, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6H 3R9, Canada"
56,5.391210332821733,museum,"Museum of Vancouver, 1100, Chestnut Street, Kitsilano, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6J 3J9, Canada"
63,4.710974412040141,museum,"Vancouver City Hall, West 12th Avenue, Mount Pleasant, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V5Z 3X0, Canada"
64,5.194391941019826,museum,"312 Main, 312, Main Street, Downtown Eastside, Strathcona, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6A, Canada"
68,3.880131784797409,museum,"Vancouver Art Gallery, 750, Hornby Street, Downtown, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6Z, Canada"
72,5.6513427441927755,museum,"Vancouver Maritime Museum, 1905, Ogden Avenue, Kitsilano, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6J 1A3, Canada"
76,4.83305758276801,museum,"Roedde House Museum, 1415, Barclay Street, West End, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada"
91,2.690262148647685,viewpoint,"Seafarers Plaque, Stanley Park Seawall Bike Path, Coal Harbour, Vancouver, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V6G, Canada"
